organism,kingdom,phylum,class,order,family,genus,species,kingdom_id,phylum_id,class_id,order_id,family_id,genus_id,species_id
Pythium tracheiphilum,Chromista,Oomycota,Peronosporea,Peronosporales,Pythiaceae,Pythium,Pythium tracheiphilum,4,32,8179345,1259,8294,3202728,5424057
Pythium undulatum,Chromista,Oomycota,Peronosporea,Peronosporales,Pythiaceae,Elongisporangium,Elongisporangium undulatum,4,32,8179345,1259,8294,8030978,7358771
Ramularia absinthii,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia absinthii,5,95,183,1262,4797,2513169,5503208
Ramularia acalyphae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Passalora,Passalora acalyphae,5,95,183,1262,4797,9624081,3504236
Ramularia achilleae-millefolii,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia achilleae-millefolii,5,95,183,1262,4797,2513169,5503755
Ramularia acris,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia acris,5,95,183,1262,4797,2513169,5263646
Ramularia acroptili,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Cercosporella,Cercosporella acroptili,5,95,183,1262,4797,2556898,2621586
Ramularia actaeina,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia actaeina,5,95,183,1262,4797,2513169,5503509
Ramularia actinidiae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia actinidiae,5,95,183,1262,4797,2513169,5503917
Ramularia adoxae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia adoxae,5,95,183,1262,4797,2513169,5263686
Ramularia aequivoca,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia aequivoca,5,95,183,1262,4797,2513169,5263492
Ramularia agastaches,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia agastaches,5,95,183,1262,4797,2513169,5503950
Ramularia agerati,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia agerati,5,95,183,1262,4797,2513169,5503610
Ramularia agrestis,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia agrestis,5,95,183,1262,4797,2513169,5263560
Ramularia ajugae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia ajugae,5,95,183,1262,4797,2513169,5263569
Ramularia alborosella,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Phacellium,Phacellium alborosellum,5,95,183,1262,4797,9482983,2621378
Ramularia alismatis,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia alismatis,5,95,183,1262,4797,2513169,5263662
Ramularia allii,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia allii,5,95,183,1262,4797,2513169,5503579
Ramularia alnicola,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia alnicola,5,95,183,1262,4797,2513169,5263521
Ramularia anchusae-officinalis,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia anchusae-officinalis,5,95,183,1262,4797,2513169,5504005
Ramularia angelicae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia angelicae,5,95,183,1262,4797,2513169,5263531
Ramularia angustissima,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia angustissima,5,95,183,1262,4797,2513169,5503486
Ramularia anomala,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia anomala,5,95,183,1262,4797,2513169,5263666
Ramularia antennariicola,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia antennariicola,5,95,183,1262,4797,2513169,5503306
Ramularia anthemidis,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia anthemidis,5,95,183,1262,4797,2513169,5263608
Ramularia anthrisci,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia anthrisci,5,95,183,1262,4797,2513169,5263568
Ramularia archangelicae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia archangelicae,5,95,183,1262,4797,2513169,5263711
Ramularia arenariae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia arenariae,5,95,183,1262,4797,2513169,5263628
Ramularia areola,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia gossypii,5,95,183,1262,4797,2513169,5264112
Ramularia argentinensis,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia argentinensis,5,95,183,1262,4797,2513169,5503180
Ramularia aristolochiae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia aristolochiae,5,95,183,1262,4797,2513169,5503284
Ramularia arvensis,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia arvensis,5,95,183,1262,4797,2513169,5263624
Ramularia asperifolii,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia asperifolii,5,95,183,1262,4797,2513169,5503682
Ramularia balcanica,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia cynarae,5,95,183,1262,4797,2513169,5263659
Ramularia baldingerae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia pusilla,5,95,183,1262,4797,2513169,5263647
Ramularia bartsiae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia bartsiae,5,95,183,1262,4797,2513169,5263497
Ramularia batatae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia batatas,5,95,183,1262,4797,2513169,5503352
Ramularia bauhinae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Passalora,Passalora bauhiniae,5,95,183,1262,4797,9624081,3504088
Ramularia beccabungae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia beccabungae,5,95,183,1262,4797,2513169,5263682
Ramularia bergeniae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia bergeniae,5,95,183,1262,4797,2513169,5503977
Ramularia biscutellae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia biscutellae,5,95,183,1262,4797,2513169,5503959
Ramularia bistortae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia bistortae,5,95,183,1262,4797,2513169,5263532
Ramularia bornmuelleriana,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia bornmuelleriana,5,95,183,1262,4797,2513169,5503455
Ramularia bosniaca,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia bosniaca,5,95,183,1262,4797,2513169,5503963
Ramularia brassicae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia brassicae,5,95,183,1262,4797,2513169,5503838
Ramularia bresadolae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia bresadolae,5,95,183,1262,4797,2513169,5503604
Ramularia brevipes,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia brevipes,5,95,183,1262,4797,2513169,5503373
Ramularia buniadis,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia buniadis,5,95,183,1262,4797,2513169,5503800
Ramularia cacaliae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia cacaliae,5,95,183,1262,4797,2513169,5503998
Ramularia calaminthae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia calaminthae,5,95,183,1262,4797,2513169,5503345
Ramularia callistephi,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia callistephi,5,95,183,1262,4797,2513169,5503563
Ramularia calthae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,NA,5,95,183,1262,4797,2513169,NA
Ramularia calthicola,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia calthae,5,95,183,1262,4797,2513169,7724403
Ramularia canadensis,Fungi,Ascomycota,NA,NA,NA,Monodidymaria,Monodidymaria canadensis,5,95,NA,NA,NA,2589313,2589314
Ramularia caricis,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia caricis,5,95,183,1262,4797,2513169,5503298
Ramularia carthami,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia carthami,5,95,183,1262,4797,2513169,5263548
Ramularia cassiicola,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Passalora,Passalora occidentalis,5,95,183,1262,4797,9624081,2624460
Ramularia caucasica,Fungi,Ascomycota,NA,NA,NA,Neoovularia,Neoovularia caucasica,5,95,NA,NA,NA,2624679,3475309
Ramularia celtidis,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Pseudocercosporella,Pseudocercosporella celtidis,5,95,183,1262,4797,2584093,3512782
Ramularia centaureae-scabiosae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia centaureae-scabiosae,5,95,183,1262,4797,2513169,5503953
Ramularia centranthi,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia centranthi,5,95,183,1262,4797,2513169,5263630
Ramularia cercosporelloides,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia cercosporelloides,5,95,183,1262,4797,2513169,5503581
Ramularia cercosporoides,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia cercosporoides,5,95,183,1262,4797,2513169,5503627
Ramularia cervina,Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,Cylindrosporium,Cylindrosporium cervinum,5,95,179,1052,NA,2513084,3485955
Ramularia chaerophylli,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia chaerophylli,5,95,183,1262,4797,2513169,5263550
Ramularia chalcedonica,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia chalcedonica,5,95,183,1262,4797,2513169,5503598
Ramularia chamaedryos,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia chamaedryos,5,95,183,1262,4797,2513169,5263503
Ramularia chorisporae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Pseudocercosporella,Pseudocercosporella capsellae,5,95,183,1262,4797,2584093,2620776
Ramularia cicutae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia cicutae,5,95,183,1262,4797,2513169,5263525
Ramularia circaeae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia caduca,5,95,183,1262,4797,2513169,5503882
Ramularia cirsii,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia cirsii,5,95,183,1262,4797,2513169,5263664
Ramularia cirsii-eriophori,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia cirsii-eriophori,5,95,183,1262,4797,2513169,5503419
Ramularia claytoniae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia claytoniae,5,95,183,1262,4797,2513169,5503914
Ramularia codonocephali,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia codonocephali,5,95,183,1262,4797,2513169,5503553
Ramularia coleosporii,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia coleosporii,5,95,183,1262,4797,2513169,5263648
Ramularia collo-cygni,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia collo-cygni,5,95,183,1262,4797,2513169,5263625
Ramularia contexta,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia contexta,5,95,183,1262,4797,2513169,5503461
Ramularia coryli,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia coryli,5,95,183,1262,4797,2513169,5503547
Ramularia cousiniae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia cousiniae,5,95,183,1262,4797,2513169,5504002
Ramularia crupinae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia crupinae,5,95,183,1262,4797,2513169,5503817
Ramularia cyclaminicola,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia cyclaminicola,5,95,183,1262,4797,2513169,5263661
Ramularia cylindroides,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia cylindroides,5,95,183,1262,4797,2513169,5263632
Ramularia davisiana,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia davisiana,5,95,183,1262,4797,2513169,5503695
Ramularia deflectens,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia agrestis,5,95,183,1262,4797,2513169,5263560
Ramularia delphinii,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia delphinii,5,95,183,1262,4797,2513169,7816716
Ramularia delphiniicola,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia delphiniicola,5,95,183,1262,4797,2513169,5503693
Ramularia destructans,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Ilyonectria,Ilyonectria destructans,5,95,320,1290,4152,8076903,7523992
Ramularia destructiva,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Phacellium,Phacellium rufibasis,5,95,183,1262,4797,9482983,2621388
Ramularia deusta,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia deusta,5,95,183,1262,4797,2513169,5263481
Ramularia digitalis-ambiguae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia digitalis-ambiguae,5,95,183,1262,4797,2513169,5503815
Ramularia dobrozrakoviana,Fungi,Ascomycota,NA,NA,NA,Monodidymaria,Monodidymaria equiseti,5,95,NA,NA,NA,2589313,2589324
Ramularia dracocephali,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia dracocephali,5,95,183,1262,4797,2513169,5503626
Ramularia dubia,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Passalora,Passalora dubia,5,95,183,1262,4797,9624081,2623119
Ramularia epigaeae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,NA,5,95,183,1262,4797,2513169,NA
Ramularia epilobii,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia epilobii,5,95,183,1262,4797,2513169,5263567
Ramularia epilobii-palustris,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia epilobii-palustris,5,95,183,1262,4797,2513169,5263720
Ramularia epilobii-rosei,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Passalora,Passalora montana,5,95,183,1262,4797,9624081,2624616
Ramularia epipactidis,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia epipactidis,5,95,183,1262,4797,2513169,5503974
Ramularia epistroma,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia epistroma,5,95,183,1262,4797,2513169,5503389
Ramularia equiseti,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Cercosporella,Cercosporella equiseti,5,95,183,1262,4797,2556898,3506755
Ramularia erigerontis,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Cercosporella,Cercosporella virgaureae,5,95,183,1262,4797,2556898,2621560
Ramularia erigerontis-annui,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia erigerontis-annui,5,95,183,1262,4797,2513169,5503892
Ramularia eriodendri,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Pseudocercospora,Pseudocercospora eriodendri,5,95,183,1262,4797,2589681,3502659
Ramularia eriophylli,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia eriophylli,5,95,183,1262,4797,2513169,5503575
Ramularia exilis,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia exilis,5,95,183,1262,4797,2513169,5503597
Ramularia fagopyri,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia fagopyri,5,95,183,1262,4797,2513169,5503310
Ramularia filaris,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia filaris,5,95,183,1262,4797,2513169,5263512
Ramularia frutescens,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia frutescens,5,95,183,1262,4797,2513169,5503258
Ramularia galegae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia galegae,5,95,183,1262,4797,2513169,5263486
Ramularia galii,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia galii,5,95,183,1262,4797,2513169,5503409
Ramularia gei,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia gei,5,95,183,1262,4797,2513169,5263544
Ramularia gei-allepici,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia gei,5,95,183,1262,4797,2513169,5263544
Ramularia geranii,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia geranii,5,95,183,1262,4797,2513169,5263527
Ramularia gibba,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia gibba,5,95,183,1262,4797,2513169,8748627
Ramularia giliae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia giliae,5,95,183,1262,4797,2513169,5503583
Ramularia glauca,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia glauca,5,95,183,1262,4797,2513169,5503481
Ramularia glechomatis,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia glechomatis,5,95,183,1262,4797,2513169,5263498
Ramularia glehniae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia glehniae,5,95,183,1262,4797,2513169,5503464
Ramularia golovinii,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia golovinii,5,95,183,1262,4797,2513169,5503496
Ramularia gossypii,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia gossypii,5,95,183,1262,4797,2513169,5264112
Ramularia graminicola,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Plectosphaerellaceae,Spermosporina,Spermosporina graminicola,5,95,320,1290,5729,2569170,3454788
Ramularia hayachinensis,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia hayachinensis,5,95,183,1262,4797,2513169,5503478
Ramularia heucherae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia heucherae,5,95,183,1262,4797,2513169,5503647
Ramularia hordeicola,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia collo-cygni,5,95,183,1262,4797,2513169,5263625
Ramularia hornemannii,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Passalora,Passalora montana,5,95,183,1262,4797,9624081,2624616
Ramularia inaequale,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia inaequalis,5,95,183,1262,4797,2513169,8237592
Ramularia iridis,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia iridis,5,95,183,1262,4797,2513169,5503510
Ramularia isotomae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Passalora,Passalora isotomae,5,95,183,1262,4797,9624081,3504204
Ramularia jaapiana,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Cercosporella,Cercosporella jaapiana,5,95,183,1262,4797,2556898,7507597
Ramularia jaczevskii,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia jaczevskii,5,95,183,1262,4797,2513169,5503440
Ramularia keithii,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia keithii,5,95,183,1262,4797,2513169,5263689
Ramularia lanosa,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia lanosa,5,95,183,1262,4797,2513169,5503280
Ramularia lappae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia filaris,5,95,183,1262,4797,2513169,5263512
Ramularia lathyri,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia galegae,5,95,183,1262,4797,2513169,5263486
Ramularia leuzeae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Cercosporella,Cercosporella leuzeae,5,95,183,1262,4797,2556898,3506699
Ramularia lewisii,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Cercosporella,Cercosporella lewisii,5,95,183,1262,4797,2556898,3506740
Ramularia linariae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia linariae,5,95,183,1262,4797,2513169,5503522
Ramularia lolii,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia lolii,5,95,183,1262,4797,2513169,5503901
Ramularia lomatiicola,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia lomatiicola,5,95,183,1262,4797,2513169,5503592
Ramularia lonicerae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia lonicerae,5,95,183,1262,4797,2513169,5263553
Ramularia lophanthi,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia lophanthi,5,95,183,1262,4797,2513169,5503297
Ramularia lupinicola,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ovularia,Ovularia lupinicola,5,95,183,1262,4797,2556643,2621725
Ramularia lysimachiarum,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia lysimachiarum,5,95,183,1262,4797,2513169,5263530
Ramularia maclurae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia maclurae,5,95,183,1262,4797,2513169,5503889
Ramularia macrospora,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia macrospora,5,95,183,1262,4797,2513169,5263694
Ramularia macularis,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia macularis,5,95,183,1262,4797,2513169,5263629
Ramularia maculicola,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia maculicola,5,95,183,1262,4797,2513169,5503652
Ramularia magnusiana,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia magnusiana,5,95,183,1262,4797,2513169,5263576
Ramularia major,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia major,5,95,183,1262,4797,2513169,5263707
Ramularia malachii,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia malachii,5,95,183,1262,4797,2513169,5503276
Ramularia malvastri,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycovellosiella,Mycovellosiella malvastri,5,95,183,1262,4797,2618207,3504538
Ramularia matronalis,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia matronalis,5,95,183,1262,4797,2513169,5503200
Ramularia medicaginis,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia medicaginis,5,95,183,1262,4797,2513169,5503877
Ramularia melampyrina,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia melampyrina,5,95,183,1262,4797,2513169,5503701
Ramularia melittis,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia melittis,5,95,183,1262,4797,2513169,5503385
Ramularia menthicola,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia menthicola,5,95,183,1262,4797,2513169,5263509
Ramularia mimuli,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia mimuli,5,95,183,1262,4797,2513169,7254456
Ramularia minax,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycovellosiella,Mycovellosiella minax,5,95,183,1262,4797,2618207,2621348
Ramularia moehringiae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia moehringiae,5,95,183,1262,4797,2513169,5263538
Ramularia momordicae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Passalora,Passalora momordicae,5,95,183,1262,4797,9624081,3504032
